year,rank,title,artist,title_clean,artist_clean,primary_artist,spotify_id,spotify_title,spotify_artist,spotify_album,album_type,release_date,release_date_precision,popularity,explicit,duration_ms,disc_number,track_number,isrc,spotify_url,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_features_available
2022,58,"""Sand in My Boots""",Morgan Wallen,sand in my boots,morgan wallen,morgan wallen,12k3pLHg78j1NfwKf9B1jf,Sand In My Boots,Morgan Wallen,Dangerous: The Double Album,album,2021-01-08,day,73,False,202133,1,1,USUG12004193,https://open.spotify.com/track/12k3pLHg78j1NfwKf9B1jf,,,,,,,,,,,,,,False
2022,59,"""Mamiii""",Becky G and Karol G,mamiii,becky g and karol g,becky g and karol g,7FlQk2gJ6TBrHHiidvdR2O,MAMIII,"Becky G, KAROL G",ESQUEMAS,album,2022-05-13,day,77,False,226088,1,14,USRC12200425,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O,,,,,,,,,,,,,,False
2022,61,"""AA""",Walker Hayes,aa,walker hayes,walker hayes,6aIrXGmaFqPafbYgxbMUsj,AA,Walker Hayes,Country Stuff The Album,album,2022-01-21,day,57,False,189560,1,2,USQX92104965,https://open.spotify.com/track/6aIrXGmaFqPafbYgxbMUsj,,,,,,,,,,,,,,False
2022,62,"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,sweetest pie,megan thee stallion and dua lipa,megan thee stallion and dua lipa,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",Sweetest Pie,single,2022-03-11,day,69,True,201334,1,1,QMCE32200232,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,,,,,,,,,,,,,,False
2022,63,"""Provenza""",Karol G,provenza,karol g,karol g,7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,PROVENZA,single,2022-04-22,day,74,False,210200,1,1,USUM72205906,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb,,,,,,,,,,,,,,False
2022,66,"""Bam Bam""",Camila Cabello featuring Ed Sheeran,bam bam,camila cabello featuring ed sheeran,camila cabello,0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),single,2022-03-04,day,73,False,205604,1,1,USSM12200047,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,,,,,,,,,,,,,,False
2022,67,"""5 Foot 9""",Tyler Hubbard,5 foot 9,tyler hubbard,tyler hubbard,6AqwH2Y9FJwhUE2dCSkw1u,5 Foot 9,Tyler Hubbard,5 Foot 9,single,2022-05-20,day,65,False,189780,1,1,USUM72206482,https://open.spotify.com/track/6AqwH2Y9FJwhUE2dCSkw1u,,,,,,,,,,,,,,False
2022,68,"""Get Into It (Yuh)""",Doja Cat,get into it (yuh),doja cat,doja cat,5FKyikVIraqOocRK2WQYJn,Get Into It (Yuh),Doja Cat,Viral Summer Hits,compilation,2022-05-26,day,25,True,138293,1,1,USRC12101535,https://open.spotify.com/track/5FKyikVIraqOocRK2WQYJn,,,,,,,,,,,,,,False
2022,69,"""Efecto""",Bad Bunny,efecto,bad bunny,bad bunny,5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,Un Verano Sin Ti,album,2022-05-06,day,85,True,213061,1,10,QM6MZ2214884,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx,,,,,,,,,,,,,,False
2022,70,"""Rock and a Hard Place""",Bailey Zimmerman,rock and a hard place,bailey zimmerman,bailey zimmerman,1QLMOpJ9hjifk5pEiJdXMN,Rock and A Hard Place - Acoustic,Bailey Zimmerman,Rock and A Hard Place (Acoustic),single,2022-07-15,day,50,False,207540,1,1,USWB12202437,https://open.spotify.com/track/1QLMOpJ9hjifk5pEiJdXMN,,,,,,,,,,,,,,False
2022,71,"""Doin' This""",Luke Combs,doin' this,luke combs,luke combs,6TpyujRefwsflWFXbmjVpj,Doin' This,Luke Combs,Growin' Up,album,2022-06-24,day,63,False,254181,1,1,US6XF2100159,https://open.spotify.com/track/6TpyujRefwsflWFXbmjVpj,,,,,,,,,,,,,,False
2022,72,"""Oh My God""",Adele,oh my god,adele,adele,3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,30,album,2021-11-19,day,74,False,225148,1,5,USSM12105973,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX,,,,,,,,,,,,,,False
